Probe Name	Annotation	Accession	NS Probe ID	Class Name	Analyte Type	Samples above Threshold	20210527_20210527OUa_01 OU01_01.RCC	20210527_20210527OUa_02 OU02_02.RCC	20210527_20210527OUa_03 OU03_03.RCC	20210527_20210527OUa_04 OU04_04.RCC	20210527_20210527OUa_05 OU05_05.RCC	20210527_20210527OUa_06 OU06_06.RCC	20210527_20210527OUa_07 OU07_07.RCC	20210527_20210527OUa_08 OU08_08.RCC	20210527_20210527OUa_09 OU09_09.RCC	20210527_20210527OUa_10 OU10_10.RCC	20210527_20210527OUa_11 OU11_11.RCC	20210527_20210527OUa_12 OU12_12.RCC	20210528_20210528OUb_01 OU13_01.RCC	20210528_20210528OUb_02 OU14_02.RCC	20210528_20210528OUb_03 OU15_03.RCC	20210528_20210528OUb_04 OU16_04.RCC	20210528_20210528OUb_05 OU17_05.RCC	20210528_20210528OUb_06 OU18_06.RCC	20210528_20210528OUb_07 OU19_07.RCC	20210528_20210528OUb_08 OU20_08.RCC	20210528_20210528OUb_09 OU21_09.RCC	20210528_20210528OUb_10 OU22_10.RCC	20210528_20210528OUb_11 OU23_11.RCC	20210528_20210528OUb_12 OU24_12.RCC	20210602OUc_01 OU25_01.RCC	20210602OUc_02 OU26_02.RCC	20210602OUc_03 OU27_03.RCC	20210602OUc_04 OU28_04.RCC	20210602OUc_05 OU29_05.RCC	20210602OUc_06 OU30_06.RCC	20210602OUc_07 OU31_07.RCC	20210602OUc_08 OU32_08.RCC	20210602OUc_09 OU33_09.RCC	20210602OUc_10 OU34_10.RCC	20210602OUc_11 OU35_11.RCC	20210602OUc_12 OU36_12.RCC	20210602_20210602OUd_01 OU37_01.RCC	20210602_20210602OUd_02 OU38_02.RCC	20210602_20210602OUd_03 OU39_03.RCC	20210602_20210602OUd_04 OU40_04.RCC	20210602_20210602OUd_05 OU41_05.RCC	20210602_20210602OUd_06 OU42_06.RCC	20210602_20210602OUd_07 OU43_07.RCC	20210602_20210602OUd_08 OU44_08.RCC	20210602_20210602OUd_09 OU45_09.RCC	20210602_20210602OUd_10 OU46_10.RCC	20210602_20210602OUd_11 OU47_11.RCC	20210602_20210602OUd_12 OU48_12.RCC
ABCB1		NM_000927.3		Endogenous	mRNA	100	1772.928	2284.853	740.181	1700.96	687.669	2006.385	572.388	1372.454	1772.643	375.065	1360.094	1481.864	257.252	790.413	995.103	1658.683	359.173	354.272	1885.375	879.489	1244.625	622.45	2416.543	615.377	2100.711	1289.93	1741.333	1631.775	806.27	693.64	789.453	990.891	279.882	2382.285	741.163	1972.31	1045.45	2447.382	1430.877	921.513	1231.637	2464.883	1970.947	1193.89	1147.569	1415.993	2682.458	1966.946
ABL1		NM_005157.3		Endogenous	mRNA	100	412.157	355.762	830.122	634.162	598.745	518.222	490.267	290.694	293.61	523.68	345.07	345.33	770.001	548.383	323.313	594.672	645.557	829.253	445.904	428.861	547.865	471.553	349.527	377.851	501.487	342.47	478.272	268.16	715.792	509.24	502.341	566.907	532.044	442.698	372.304	870.179	646.503	562.349	443.256	411.3	605.932	509.19	550.739	590.461	574.559	589.632	368.999	449.835
ADA		NM_000022.2		Endogenous	mRNA	100	52.932	4.089	79.387	55.251	35.827	43.587	161.784	29.986	2.7	15.223	19.81	68.652	226.815	17.954	3.252	39.819	104.291	119.803	135.864	54.711	106.354	55.077	20.058	5.758	47.728	30.636	34.351	11.109	26.636	37.661	34.517	115.371	129.036	253.192	82.94	285.271	124.097	38.11	81.249	80.607	79.824	22.8	65.229	148.025	71.798	26.119	29.102	28.066
AHR		NM_001621.3		Endogenous	mRNA	100	363.388	59.294	2993.303	1243.657	1349.038	832.647	1190.029	601.191	137.354	234.706	347.334	695.734	1573.073	472.608	184.205	576.394	2614.922	3403.579	1198.858	1112.451	2532.366	1431.257	389.405	263.152	291.208	867.508	423.31	225.159	502.703	639.227	699.942	2059.27	4785.018	1169.655	751.763	1409.112	3384.033	779.234	1366.781	1722.264	1613.622	612.363	927.282	1586.239	1410.658	819.387	261.922	777.178
AICDA		NM_020661.1		Endogenous	mRNA	66.667	1.189	1.022	3.212	1	1	4.177	1.157	1.018	1	1	1	1.553	2.341	1.131	1.131	1.306	1	1.209	1	1.177	4.024	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1.806	1.476	1.172	1	1.211	1.193	1.377	1	1	6.033
AIRE		NM_000383.2		Endogenous	mRNA	66.667	1.189	1.022	1.377	1	1	1	6.795	1.018	1	1	1	1	2.341	1.131	1.131	1.306	1	8.611	1	1.177	5.174	1.207	1.068	1	1.245	3.736	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	2.708	10.925	1.172	1	1.211	1.193	1.377	1	1	1.049
APP		NM_000484.3		Endogenous	mRNA	100	8174.739	7657.067	11961.741	8724.349	11583.982	8318.868	6833.233	14503.833	7747.1	14947.642	14327.494	15228.794	7922.73	9053.347	16745.979	15511.726	14762.367	14807.963	8451.136	12877.013	11846.644	11314.398	12114.521	7619.223	13805.48	5633.697	16881.15	8202.353	8745.515	16715.238	12587.237	14556.854	10231.257	11705.349	9435.855	9101.041	13043.445	11107.874	10760.011	12280.835	12274.043	11634.442	8370.961	14377.514	8516.805	12850.773	7629.626	11832.363
ARG1		NM_000045.2		Endogenous	mRNA	72.917	4.163	1.022	1	1.365	123.163	1	1.157	1.924	1	1	1	4.867	2.341	1.131	1.131	1.306	1	1.209	21.592	38.239	1.15	1.207	1.068	1	20.059	1	1.057	1	1	1.008	1	1.531	1.126	1.553	1.06	6.864	1.02	1.239	1	3.838	2.49	1	3.481	10.882	1.377	3.427	2.579	1.049
ARG2		NM_001172.3		Endogenous	mRNA	100	55.311	192.193	471.274	961.847	1503.86	90.708	194.169	49.901	104.231	55.129	44.714	12.322	39.51	71.11	115.217	940.639	698.06	635.877	171.297	871.253	107.503	187.867	34.3	73.493	90.89	57.535	30.123	19.709	49.467	33.63	330.074	824.052	216.842	1169.655	511.156	504.93	618.954	56.7	90.276	288.471	37.642	52.278	99.13	70.509	62.156	90.413	57.591	49.049
ARHGDIB		NM_001175.4		Endogenous	mRNA	100	519.21	75.651	1012.758	122.973	448.687	870.344	1281.403	347.724	158.956	437.676	380.54	589.701	1289.774	252.067	163.848	238.26	850.798	1443.224	741.771	399.447	1446.984	914.586	169.126	85.234	387.494	451.064	463.475	164.957	611.784	483.041	467.719	990.891	1568.833	504.831	456.039	1079.622	1361.75	641.667	972.274	1334.88	1813.988	681.453	1010.823	1053.169	1553.91	566.941	250.134	708.982
ATG10		NM_001131028.1		Endogenous	mRNA	100	111.217	141.078	106.002	211.812	149.364	260.343	212.676	216.465	426.104	361.992	305.073	276.575	158.917	123.135	309.742	128.595	107.155	111.343	142.951	187.664	144.296	237.361	241.286	322.759	384.173	226.902	239.4	250.96	130.644	202.915	118.117	155.167	158.305	264.583	196.354	171.609	157.768	256.233	259.995	294.376	238.008	267.837	265.003	225.541	230.203	146.197	154.845	379.54
ATG12		NM_004707.2		Endogenous	mRNA	100	25.574	60.316	68.374	13.745	28.682	25.595	25.301	33.607	143.835	51.001	39.431	64.51	37.168	63.193	43.966	33.291	66.107	43.661	55.254	44.122	48.865	27.312	57.087	119.553	96.424	51.557	104.11	59.843	46.93	136.41	48.872	38.84	59.241	54.366	46.902	61.779	108.792	38.11	41.527	38.089	49.359	32.011	107.605	91.975	80.063	64.884	65.45	35.41
ATG16L1		NM_198890.2		Endogenous	mRNA	100	146.901	56.227	253.763	199.433	129.515	250.919	248.531	221.896	233.124	265.667	194.892	205.334	212.767	215.876	143.491	156.012	216.936	315.597	198.758	159.426	201.784	219.253	154.884	223.414	341.011	231.883	223.546	162.091	152.629	427.621	220.295	185.78	221.345	201.415	226.032	199.705	229.19	279.78	241.94	237.686	240.352	230.989	290.428	405.616	303.206	513.048	198.068	253.639
ATG5		NM_004849.2		Endogenous	mRNA	100	248.008	494.796	617.2	492.165	586.042	617.605	442.845	486.226	437.625	447.309	504.305	462.96	510.115	459.036	367.421	547.672	673.24	699.933	373.266	511.221	534.068	428.094	469.161	522.353	419.589	442.098	591.366	508.967	546.674	447.773	626.475	664.867	546.678	665.341	501.617	447.461	792.409	584.658	515.477	516.413	598.902	688.822	618.541	427.081	535.991	289.911	553.683	524.327
ATG7		NM_001136031.2		Endogenous	mRNA	100	261.092	118.587	362.06	85.107	253.373	255.202	357.254	353.156	336.095	439.74	326.958	249.238	681.031	350.462	212.479	200.4	276.122	384.487	302.4	173.545	277.669	219.253	214.701	133.1	260.22	274.723	478.272	211.781	354.725	514.278	249.007	282.21	392.454	92.682	218.613	248.235	428.154	235.164	234.718	299.1	308.312	281.655	440.561	561.839	403.758	564.104	259.957	361.704
